Ponto,Lat,Lon
1,-40.046,303.6982
2,-39.1016,304.1521
3,-38.0251,304.5141
4,-37.0357,305.3246
5,-36.0688,306.3242
6,-35.0119,307.4048
7,-34,308.2928
8,-33.1005,309.4363
9,-32.0212,309.6464
10,-31.0093,309.8798
11,-30.0198,310.8133
12,-29.023,311.4818
13,-28.0583,312.1492
14,-27.0195,312.3032
15,-26.0548,312.868
16,-25.0406,314.434
17,-24.0512,315.3839
18,-23.7068,316.0874
19,-23.3002,317.0645
20,-23.2739,318.0888
21,-22.9876,318.9779
22,-22.0926,319.9335
23,-21.0357,319.8168
24,-20.0238,320.2369
25,-20.0525,321.1662
26,-19.8951,322.0802
27,-19.0119,322.1973
28,-18.045,322.6407
29,-17.078,321.3805
30,-16.0437,322.0806
31,-15.0542,321.2405
32,-14.0476,321.1726
33,-13.0357,321.7093
34,-12.0318,322.6275
35,-10.9831,323.4097
36,-9.9897,324.4301
37,-9.1039,325.1784
38,-8.0224,325.5185
39,-7.0065,326
40,-6.0234,325.1444
41,-5.1058,325.125
42,-5.4335,325.0083
43,-4.7781,324.056
44,-4.5543,323.0696
45,-3.5711,322.0493
46,-2.9157,321.0289
47,-2.2275,320.0426
48,-2.2275,319.0902
49,-2.2275,318.0699
50,-1.6704,317.0155
51,-0.3923,316.0291
52,0.2959,315.0768
53,0.6236,314.0565
54,1.5084,313.0701
55,2.5571,312.0497
56,3.3764,311.0634
57,3.9335,310.043
58,4.9738,308.9873
59,5.7931,308.0424
60,6.5796,307.0581
61,6.9073,306.0738
