id	name	lat	lon	type	institution	url
1	codesa	-20.3195	-40.2628	buoy	codesa	
2	Pier	-30.178	-50.1999	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/pier/
3	Calcadao	-30.149	-50.189	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/calcadao/
4	Barrinha	-29.979	-50.1181	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/barrinha/
5	Backdoor	-30.005	-50.129	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/backdoor/
6	Meio	-30.0018	-50.1264	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/meio/
7	Pier	-30.0058	-50.127	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/pier-2/
8	Imbe	-29.9645	-50.1109	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/imbe/
9	Final do Calcadao	-29.743	-50	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/final-do-calcadao/
10	Special Point	-29.7395	-49.9975	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/special-point-8/
11	Praia da Guarita	-29.358	-49.7335	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/praia-da-guarita/
12	Cal	-29.351	-49.7263	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/cal/
13	Prainha	-29.3459	-49.7174	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/prainha-8/
14	Molhes	-29.327	-49.711	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/molhes-2/
15	Mampituba	-29.321	-49.709	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/mampituba/
16	Xangri-la	-29.8135	-50.0371	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/xangri-la/
17	Atlandida Pier	-29.7858	-50.0225	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/atlandida-pier/
18	Centro	-28.7163	-49.0457	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/centro-3/
19	Plataforma Entremares	-28.9607	-49.3833	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/plataforma-entremares/
20	Plataforma Norte	-28.8235	-49.2173	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/plataforma-norte/
21	Teresa	-28.524	-48.7608	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/teresa/
22	Cigana	-28.6132	-48.8405	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/cigana/
23	Cardoso	-28.6138	-48.8289	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/cardoso/
24	Vila	-28.2435	-48.6536	visual	wavecheck	http://www.waves.com.br/surf/ondas/picos/vila/
