# ano	mês	dia	mare
2019	1	5	sizigia
2019	1	14	quadratura
2019	1	21	sizigia
2019	1	27	quadratura
2019	2	4	sizigia
2019	2	12	quadratura
2019	2	19	sizigia
2019	2	26	quadratura
2019	3	6	sizigia
2019	3	14	quadratura
2019	3	20	sizigia
2019	3	28	quadratura
2019	4	5	sizigia
2019	4	12	quadratura
2019	4	19	sizigia
2019	4	26	quadratura
2019	5	4	sizigia
2019	5	11	quadratura
2019	5	18	sizigia
2019	5	26	quadratura
2019	6	3	sizigia
2019	6	10	quadratura
2019	6	17	sizigia
2019	6	25	quadratura
2019	7	2	sizigia
2019	7	9	quadratura
2019	7	16	sizigia
2019	7	24	quadratura
2019	7	31	sizigia
2019	8	7	quadratura
2019	8	15	sizigia
2019	8	23	quadratura
2019	8	30	sizigia
2019	9	5	quadratura
2019	9	14	sizigia
2019	9	21	quadratura
2019	9	28	sizigia
2019	10	5	quadratura
2019	10	13	sizigia
2019	10	21	quadratura
2019	10	27	sizigia
2019	11	4	quadratura
2019	11	12	sizigia
2019	11	19	quadratura
2019	11	26	sizigia
2019	12	4	quadratura
2019	12	12	sizigia
2019	12	18	quadratura
2019	12	26	sizigia
2020	1	2	quadratura
2020	1	10	sizigia
2020	1	17	quadratura
2020	1	24	sizigia
2020	2	1	quadratura
2020	2	9	sizigia
2020	2	15	quadratura
2020	2	23	sizigia
2020	3	2	quadratura
2020	3	9	sizigia
2020	3	16	quadratura
2020	3	24	sizigia
2020	4	1	quadratura
2020	4	7	sizigia
2020	4	14	quadratura
2020	4	22	sizigia
2020	4	30	quadratura
2020	5	7	sizigia
2020	5	14	quadratura
2020	5	22	sizigia
2020	5	29	quadratura
2020	6	5	sizigia
2020	6	13	quadratura
2020	6	21	sizigia
2020	6	28	quadratura
2020	7	5	sizigia
2020	7	12	quadratura
2020	7	20	sizigia
2020	7	27	quadratura
2020	8	3	sizigia
2020	8	11	quadratura
2020	8	18	sizigia
2020	8	25	quadratura
2020	9	2	sizigia
2020	9	10	quadratura
2020	9	17	sizigia
2020	9	23	quadratura
2020	10	1	sizigia
2020	10	9	quadratura
2020	10	16	sizigia
2020	10	23	quadratura
2020	10	31	sizigia
2020	11	8	quadratura
2020	11	15	sizigia
2020	11	21	quadratura
2020	11	30	sizigia
2020	12	7	quadratura
2020	12	14	sizigia
2020	12	21	quadratura
2020	12	29	sizigia
2021	1	6	sizigia
2021	1	13	sizigia
2021	1	20	quadratura
2021	1	28	sizigia
2021	2	4	quadratura
2021	2	11	sizigia
2021	2	19	quadratura
2021	2	27	sizigia
2021	3	5	quadratura
2021	3	13	sizigia
2021	3	21	quadratura
2021	3	28	sizigia
2021	4	4	quadratura
2021	4	11	sizigia
2021	4	20	quadratura
2021	4	26	sizigia
2021	5	3	quadratura
2021	5	11	sizigia
2021	5	19	quadratura
2021	5	26	sizigia
2021	6	2	quadratura
2021	6	10	sizigia
2021	6	17	quadratura
2021	6	24	sizigia
2021	7	1	quadratura
2021	7	9	sizigia
2021	7	17	quadratura
2021	7	23	sizigia
2021	7	31	quadratura
2021	8	8	sizigia
2021	8	15	quadratura
2021	8	22	sizigia
2021	8	30	quadratura
2021	9	6	sizigia
2021	9	13	quadratura
2021	9	20	sizigia
2021	9	28	quadratura
2021	10	6	sizigia
2021	10	12	quadratura
2021	10	20	sizigia
2021	10	28	quadratura
2021	11	4	sizigia
2021	11	11	quadratura
2021	11	19	sizigia
2021	11	27	quadratura
2021	12	4	sizigia
2021	12	10	quadratura
2021	12	18	sizigia
2021	12	26	quadratura
